language,protocol,scenario,response_time_ms,response_size_bytes,status
JS,REST,Simple_Fetch,3.580446000341908,1602,200
JS,GraphQL,Simple_Fetch,1.6360950003218022,78,200
Python,REST,Simple_Fetch,3.6981769999329117,1603,200
Python,GraphQL,Simple_Fetch,3.120214000773558,71,200
JS,REST,Complex_Fetch,2.4107050003294717,1602,200
JS,GraphQL,Complex_Fetch,1.8914220008809934,1285,200
Python,REST,Complex_Fetch,3.271538000262808,1603,200
Python,GraphQL,Complex_Fetch,60.11940299958951,1373,200
JS,REST,Simple_Fetch,2.8173569999125903,1786,200
JS,GraphQL,Simple_Fetch,1.9380700005058316,75,200
Python,REST,Simple_Fetch,3.1775710003785207,1787,200
Python,GraphQL,Simple_Fetch,2.74848800017935,74,200
JS,REST,Complex_Fetch,2.632961999552208,1786,200
JS,GraphQL,Complex_Fetch,2.18275800034462,1493,200
Python,REST,Complex_Fetch,2.8811060001316946,1787,200
Python,GraphQL,Complex_Fetch,59.828528000252845,85,200
JS,REST,Simple_Fetch,2.9017349997957353,899,200
JS,GraphQL,Simple_Fetch,1.4972339995438233,70,200
Python,REST,Simple_Fetch,3.03258999974787,900,200
Python,GraphQL,Simple_Fetch,2.8396689995133784,81,200
JS,REST,Complex_Fetch,2.3948160005602404,899,200
JS,GraphQL,Complex_Fetch,1.9011209997188416,692,200
Python,REST,Complex_Fetch,3.871110000545741,900,200
Python,GraphQL,Complex_Fetch,60.649756000202615,1290,200
JS,REST,Simple_Fetch,3.004637000231014,2490,200
JS,GraphQL,Simple_Fetch,1.6521739999006968,83,200
Python,REST,Simple_Fetch,3.8473860004160088,2491,200
Python,GraphQL,Simple_Fetch,3.122277999864309,71,200
JS,REST,Complex_Fetch,2.98750599995401,2490,200
JS,GraphQL,Complex_Fetch,2.287934999912977,2041,200
Python,REST,Complex_Fetch,3.465941999820643,2491,200
Python,GraphQL,Complex_Fetch,60.75106600019353,1046,200
JS,REST,Simple_Fetch,3.008283999406558,160,200
JS,GraphQL,Simple_Fetch,2.0931200006089057,75,200
Python,REST,Simple_Fetch,3.7697099996876204,161,200
Python,GraphQL,Simple_Fetch,3.052257000490499,73,200
JS,REST,Complex_Fetch,2.034250000178872,160,200
JS,GraphQL,Complex_Fetch,2.1971260002828785,86,200
Python,REST,Complex_Fetch,3.364722000696929,161,200
Python,GraphQL,Complex_Fetch,59.03472200043325,1106,200
JS,REST,Simple_Fetch,2.9184470004111063,157,200
JS,GraphQL,Simple_Fetch,1.999574999899778,73,200
Python,REST,Simple_Fetch,3.393195000171545,158,200
Python,GraphQL,Simple_Fetch,3.0555929997717612,73,200
JS,REST,Complex_Fetch,2.924888000052306,157,200
JS,GraphQL,Complex_Fetch,2.669950999916182,84,200
Python,REST,Complex_Fetch,3.9229270005307626,158,200
Python,GraphQL,Complex_Fetch,59.688745999665116,1492,200
JS,REST,Simple_Fetch,2.557589999923948,996,200
JS,GraphQL,Simple_Fetch,1.4317320001282496,84,200
Python,REST,Simple_Fetch,3.2924369997999747,997,200
Python,GraphQL,Simple_Fetch,2.863814000193088,71,200
JS,REST,Complex_Fetch,2.445861000524019,996,200
JS,GraphQL,Complex_Fetch,1.8307889995412552,790,200
Python,REST,Complex_Fetch,3.1875810000201454,997,200
Python,GraphQL,Complex_Fetch,58.58654199982993,1672,200
JS,REST,Simple_Fetch,2.385336999395804,158,200
JS,GraphQL,Simple_Fetch,1.2625639992620563,78,200
Python,REST,Simple_Fetch,3.4122610004487797,159,200
Python,GraphQL,Simple_Fetch,2.809042000080808,77,200
JS,REST,Complex_Fetch,2.5618680001571192,158,200
JS,GraphQL,Complex_Fetch,1.9626359999165288,89,200
Python,REST,Complex_Fetch,3.5249219999968773,159,200
Python,GraphQL,Complex_Fetch,62.425863000498794,1499,200
JS,REST,Simple_Fetch,2.8923680001753382,2066,200
JS,GraphQL,Simple_Fetch,1.6764900001362548,76,200
Python,REST,Simple_Fetch,3.763308999623405,2067,200
Python,GraphQL,Simple_Fetch,2.872940999623097,74,200
JS,REST,Complex_Fetch,2.764848000879283,2066,200
JS,GraphQL,Complex_Fetch,2.5517089998174924,1657,200
Python,REST,Complex_Fetch,3.482613000414858,2067,200
Python,GraphQL,Complex_Fetch,62.75532900053804,792,200
JS,REST,Simple_Fetch,3.220911999960663,147,200
JS,GraphQL,Simple_Fetch,1.6118390003612149,71,200
Python,REST,Simple_Fetch,3.470239999842306,148,200
Python,GraphQL,Simple_Fetch,3.0331910002132645,76,200
JS,REST,Complex_Fetch,2.8035909999744035,147,200
JS,GraphQL,Complex_Fetch,2.0780020004167454,82,200
Python,REST,Complex_Fetch,3.529840999362932,148,200
Python,GraphQL,Complex_Fetch,61.52809100058221,1152,200
JS,REST,Simple_Fetch,2.617463000206044,1605,200
JS,GraphQL,Simple_Fetch,1.5063310002005892,74,200
Python,REST,Simple_Fetch,3.4323090003454126,1606,200
Python,GraphQL,Simple_Fetch,3.118461000667594,75,200
JS,REST,Complex_Fetch,1.9372289998500491,1605,200
JS,GraphQL,Complex_Fetch,3.029804999641783,1280,200
Python,REST,Complex_Fetch,3.5299410001243814,1606,200
Python,GraphQL,Complex_Fetch,59.8727010001312,1418,200
JS,REST,Simple_Fetch,2.7890640003533917,423,200
JS,GraphQL,Simple_Fetch,2.518086999771185,77,200
Python,REST,Simple_Fetch,3.363058999639179,424,200
Python,GraphQL,Simple_Fetch,3.512498000418418,76,200
JS,REST,Complex_Fetch,2.591884999674221,423,200
JS,GraphQL,Complex_Fetch,2.291121999405732,312,200
Python,REST,Complex_Fetch,3.0365069997060345,424,200
Python,GraphQL,Complex_Fetch,60.96425499981706,513,200
JS,REST,Simple_Fetch,2.6687879999371944,2014,200
JS,GraphQL,Simple_Fetch,1.4540530000886065,73,200
Python,REST,Simple_Fetch,3.029052999409032,2015,200
Python,GraphQL,Simple_Fetch,2.8563899995788233,89,200
JS,REST,Complex_Fetch,2.621349999571976,2014,200
JS,GraphQL,Complex_Fetch,2.3611619999428513,1619,200
Python,REST,Complex_Fetch,3.6604759998226655,2015,200
Python,GraphQL,Complex_Fetch,60.68243799927586,1631,200
JS,REST,Simple_Fetch,2.630416999636509,616,200
JS,GraphQL,Simple_Fetch,1.5071730003910488,71,200
Python,REST,Simple_Fetch,3.7116020002940786,617,200
Python,GraphQL,Simple_Fetch,3.0473570004687645,76,200
JS,REST,Complex_Fetch,1.8230149998998968,616,200
JS,GraphQL,Complex_Fetch,1.8502559996704804,476,200
Python,REST,Complex_Fetch,3.1137620007939404,617,200
Python,GraphQL,Complex_Fetch,58.58771400016849,1097,200
JS,REST,Simple_Fetch,3.0600310001318576,977,200
JS,GraphQL,Simple_Fetch,1.703871999779949,71,200
Python,REST,Simple_Fetch,2.93341400083591,978,200
Python,GraphQL,Simple_Fetch,2.666074000444496,74,200
JS,REST,Complex_Fetch,1.8653739998626406,977,200
