lang,proto,scenario,ms,bytes
JS,GraphQL,RealWorld_Complex,18.287466000401764,186
Python,GraphQL,RealWorld_Complex,67.83812600042438,186
JS,REST,RealWorld_Complex,14.043847999346326,1106
Python,REST,RealWorld_Complex,35.71906900106114,1108
JS,GraphQL,N_Plus_One_List,20.764345999850775,2247
Python,GraphQL,N_Plus_One_List,627.8959339997527,2247
JS,REST,N_Plus_One_List,251.42284300090978,15633223
Python,REST,N_Plus_One_List,403.8688290002028,15633234
JS,REST,Overfetch_Scenario,8.464575999823865,1733
JS,GraphQL,Overfetch_Scenario,3.1556920002913103,75
Python,REST,Overfetch_Scenario,17.640154001128394,1734
Python,GraphQL,Overfetch_Scenario,3.0903589995432412,75
JS,GraphQL,RealWorld_Complex,5.442996000056155,390
Python,GraphQL,RealWorld_Complex,70.72955299918249,390
JS,REST,RealWorld_Complex,13.59144999878481,3327
Python,REST,RealWorld_Complex,35.453161000987166,3329
JS,GraphQL,N_Plus_One_List,18.95610900101019,2247
Python,GraphQL,N_Plus_One_List,621.1992090011336,2247
JS,REST,N_Plus_One_List,232.8313869984413,15633223
Python,REST,N_Plus_One_List,374.83346900080505,15633234
JS,REST,Overfetch_Scenario,7.725722000031965,1296
JS,GraphQL,Overfetch_Scenario,3.0144060001475736,79
Python,REST,Overfetch_Scenario,17.97559300030116,1297
Python,GraphQL,Overfetch_Scenario,3.6448779992497293,79
JS,GraphQL,RealWorld_Complex,5.157822000910528,313
Python,GraphQL,RealWorld_Complex,67.5402179986122,313
JS,REST,RealWorld_Complex,13.38715699785098,2422
Python,REST,RealWorld_Complex,34.604771999511286,2424
JS,GraphQL,N_Plus_One_List,20.066920000317623,2247
Python,GraphQL,N_Plus_One_List,628.220420998332,2247
JS,REST,N_Plus_One_List,220.74232100021618,15633223
Python,REST,N_Plus_One_List,390.2971769985015,15633234
JS,REST,Overfetch_Scenario,7.820670000000973,1643
JS,GraphQL,Overfetch_Scenario,2.7578870012803236,76
Python,REST,Overfetch_Scenario,17.497808001280646,1644
Python,GraphQL,Overfetch_Scenario,3.244818999519339,76
JS,GraphQL,RealWorld_Complex,4.157978999501211,367
Python,GraphQL,RealWorld_Complex,67.87651800004824,367
JS,REST,RealWorld_Complex,13.338426000700565,3110
Python,REST,RealWorld_Complex,33.91919800196774,3112
JS,GraphQL,N_Plus_One_List,18.80352300031518,2247
Python,GraphQL,N_Plus_One_List,628.1139419988904,2247
JS,REST,N_Plus_One_List,224.7937809988798,15633223
Python,REST,N_Plus_One_List,386.4324869991833,15633234
JS,REST,Overfetch_Scenario,7.912561999546597,2257
JS,GraphQL,Overfetch_Scenario,2.6729870005510747,73
Python,REST,Overfetch_Scenario,18.51549399907526,2258
Python,GraphQL,Overfetch_Scenario,3.780520999498549,73
JS,GraphQL,RealWorld_Complex,4.937730000165175,500
Python,GraphQL,RealWorld_Complex,67.37822499962931,500
JS,REST,RealWorld_Complex,12.973922997844056,4351
Python,REST,RealWorld_Complex,34.32143199825077,4353
JS,GraphQL,N_Plus_One_List,18.20509299977857,2247
Python,GraphQL,N_Plus_One_List,625.6224150001799,2247
JS,REST,N_Plus_One_List,224.74889700060885,15633223
Python,REST,N_Plus_One_List,379.2624559991964,15633234
JS,REST,Overfetch_Scenario,7.612879999214783,1921
JS,GraphQL,Overfetch_Scenario,2.6718949993664864,77
Python,REST,Overfetch_Scenario,17.03797600021062,1922
Python,GraphQL,Overfetch_Scenario,3.5405420003371546,77
JS,GraphQL,RealWorld_Complex,4.794841001057648,443
Python,GraphQL,RealWorld_Complex,70.28645299942582,443
JS,REST,RealWorld_Complex,13.514053998733289,3666
Python,REST,RealWorld_Complex,35.46882099908544,3668
JS,GraphQL,N_Plus_One_List,20.846569999775966,2247
Python,GraphQL,N_Plus_One_List,633.2322700000077,2247
JS,REST,N_Plus_One_List,233.21660900001007,15633223
Python,REST,N_Plus_One_List,378.3762660004868,15633234
JS,REST,Overfetch_Scenario,7.4255199997423915,1151
JS,GraphQL,Overfetch_Scenario,4.372560999399866,71
Python,REST,Overfetch_Scenario,17.80002299892658,1152
Python,GraphQL,Overfetch_Scenario,3.4283219993085368,71
JS,GraphQL,RealWorld_Complex,5.735062999519869,317
Python,GraphQL,RealWorld_Complex,70.22231200062379,317
JS,REST,RealWorld_Complex,13.305252999998629,2137
Python,REST,RealWorld_Complex,34.26950400171336,2139
JS,GraphQL,N_Plus_One_List,20.913004000249202,2247
Python,GraphQL,N_Plus_One_List,638.4727469994687,2247
JS,REST,N_Plus_One_List,228.06466800102498,15633223
Python,REST,N_Plus_One_List,378.57882600110315,15633234
JS,REST,Overfetch_Scenario,8.515802001056727,2106
JS,GraphQL,Overfetch_Scenario,3.535472998919431,84
Python,REST,Overfetch_Scenario,17.298273000051267,2107
Python,GraphQL,Overfetch_Scenario,3.3941679994313745,84
JS,GraphQL,RealWorld_Complex,3.978692999226041,469
